0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:29:57 +0530] "GET /JQueryDemo/animation.html HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:34:20 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:34:27 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:36:40 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:36:53 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:36:57 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:37:13 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:38:56 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:39:25 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:43:16 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:43:48 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:48:00 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [13/Nov/2017:14:48:34 +0530] "GET /JQueryDemo/DEMO3.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [13/Nov/2017:15:02:49 +0530] "GET /JQueryDemo/animate.html HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [13/Nov/2017:15:02:59 +0530] "GET /JQueryDemo/animate.html HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [13/Nov/2017:15:03:04 +0530] "GET /JQueryDemo/animate.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:15:04:00 +0530] "GET /JQueryDemo/animate.html HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [13/Nov/2017:15:04:44 +0530] "GET /JQueryDemo/animate.html HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [13/Nov/2017:15:05:01 +0530] "GET /JQueryDemo/animate.html HTTP/1.1" 304 -
